"","ETH.group","agegrp","sex","deaths","year"
"100","BLC","[35,40)","M",18.3432001152049,"2011"
"101","BLC","[40,45)","F",33.1546962760958,"2011"
"102","BLC","[40,45)","M",46.2295426817042,"2011"
"103","BLC","[45,50)","F",69.4393813528962,"2011"
"104","BLC","[45,50)","M",90.8580765779744,"2011"
"105","BLC","[50,55)","F",75.0998637847715,"2011"
"106","BLC","[50,55)","M",101.588774496506,"2011"
"107","BLC","[55,60)","F",72.9986483957531,"2011"
"108","BLC","[55,60)","M",93.481928241247,"2011"
"109","BLC","[60,65)","F",72.2800031022688,"2011"
"110","BLC","[60,65)","M",83.842989596562,"2011"
"111","BLC","[65,70)","F",142.020842396235,"2011"
"112","BLC","[65,70)","M",171.706968744772,"2011"
"113","BLC","[70,75)","F",242.909796365584,"2011"
"114","BLC","[70,75)","M",354.529091931814,"2011"
"115","BLC","[75,80)","F",327.934313883853,"2011"
"116","BLC","[75,80)","M",450.255525792811,"2011"
"117","BLC","[80,85)","F",329.178989551142,"2011"
"118","BLC","[80,85)","M",396.981377149714,"2011"
"119","BLC","[85,90)","F",231.884306364025,"2011"
"120","BLC","[85,90)","M",244.463692470062,"2011"
"121","BLC","[90,95)","F",111.171774005975,"2011"
"122","BLC","[90,95)","M",102.817995281126,"2011"
"123","BLC","[95,100)","F",43.8149970116587,"2011"
"124","BLC","[95,100)","M",29.3148109987005,"2011"
"125","BLC","[100,105)","F",8.00129724548354,"2011"
"126","BLC","[100,105)","M",4.43546152080534,"2011"
"127","CHI","[0,5)","F",3.82430645860758,"2011"
"128","CHI","[0,5)","M",4.88292619475117,"2011"
"129","CHI","[5,10)","F",0.720344427252761,"2011"
"130","CHI","[5,10)","M",0.686380411110515,"2011"
"131","CHI","[10,15)","F",0.860140361938859,"2011"
"132","CHI","[10,15)","M",0.991231885449384,"2011"
"133","CHI","[15,20)","F",2.7495489754971,"2011"
"134","CHI","[15,20)","M",5.2251574121892,"2011"
"135","CHI","[20,25)","F",6.87403585940828,"2011"
"136","CHI","[20,25)","M",14.5298903074963,"2011"
"137","CHI","[25,30)","F",5.26072816167656,"2011"
"138","CHI","[25,30)","M",10.3096792050713,"2011"
"139","CHI","[30,35)","F",7.89853431614152,"2011"
"140","CHI","[30,35)","M",11.680257106746,"2011"
"141","CHI","[35,40)","F",9.26480117537843,"2011"
"142","CHI","[35,40)","M",15.016873719815,"2011"
"143","CHI","[40,45)","F",13.9433459201656,"2011"
"144","CHI","[40,45)","M",18.6243892979195,"2011"
"145","CHI","[45,50)","F",20.8970818558669,"2011"
"146","CHI","[45,50)","M",25.993207833428,"2011"
"147","CHI","[50,55)","F",28.5616251705665,"2011"
"148","CHI","[50,55)","M",37.0771585440162,"2011"
"149","CHI","[55,60)","F",38.1759344566013,"2011"
"150","CHI","[55,60)","M",46.8176000776621,"2011"
"151","CHI","[60,65)","F",42.6613786359445,"2011"
"152","CHI","[60,65)","M",51.3924489760807,"2011"
"153","CHI","[65,70)","F",35.8419336894819,"2011"
"154","CHI","[65,70)","M",51.6486125922947,"2011"
"155","CHI","[70,75)","F",49.2399694248699,"2011"
"156","CHI","[70,75)","M",76.3584545133224,"2011"
"157","CHI","[75,80)","F",64.8296281874808,"2011"
"158","CHI","[75,80)","M",84.0167525356665,"2011"
"159","CHI","[80,85)","F",69.1814495011514,"2011"
"160","CHI","[80,85)","M",68.608663288321,"2011"
"161","CHI","[85,90)","F",61.5456981244446,"2011"
"162","CHI","[85,90)","M",42.9400430398391,"2011"
"163","CHI","[90,95)","F",36.0601637976594,"2011"
"164","CHI","[90,95)","M",19.2870385235797,"2011"
"165","CHI","[95,100)","F",15.8770917592508,"2011"
"166","CHI","[95,100)","M",11.9872356397492,"2011"
"167","CHI","[100,105)","F",5.25215229040791,"2011"
"168","CHI","[100,105)","M",0.895102456312739,"2011"
"169","IND","[0,5)","F",23.0826421678431,"2011"
"170","IND","[0,5)","M",28.2888594214417,"2011"
"171","IND","[5,10)","F",4.75056450873008,"2011"
"172","IND","[5,10)","M",5.45077298007493,"2011"
"173","IND","[10,15)","F",4.74901263858951,"2011"
"174","IND","[10,15)","M",5.25136628766163,"2011"
"175","IND","[15,20)","F",5.89841015334442,"2011"
"176","IND","[15,20)","M",10.8517677764693,"2011"
"177","IND","[20,25)","F",10.0676355932346,"2011"
"178","IND","[20,25)","M",26.1257531092577,"2011"
"179","IND","[25,30)","F",17.720196221512,"2011"
"180","IND","[25,30)","M",37.5593658320122,"2011"
"181","IND","[30,35)","F",31.8715575192399,"2011"
"182","IND","[30,35)","M",55.2204663122955,"2011"
"183","IND","[35,40)","F",35.7045242571034,"2011"
"184","IND","[35,40)","M",70.6374202075731,"2011"
"185","IND","[40,45)","F",51.771641445936,"2011"
"186","IND","[40,45)","M",87.9613188585375,"2011"
"187","IND","[45,50)","F",70.4421823386594,"2011"
"188","IND","[45,50)","M",109.710819466983,"2011"
"189","IND","[50,55)","F",106.096607097117,"2011"
"190","IND","[50,55)","M",182.987502351494,"2011"
"191","IND","[55,60)","F",150.469490849201,"2011"
"192","IND","[55,60)","M",244.169150084099,"2011"
"193","IND","[60,65)","F",188.81530545635,"2011"
"194","IND","[60,65)","M",275.627107130283,"2011"
"195","IND","[65,70)","F",217.609653695073,"2011"
"196","IND","[65,70)","M",313.249023090794,"2011"
"197","IND","[70,75)","F",290.244355676709,"2011"
"198","IND","[70,75)","M",434.433440595538,"2011"
"199","IND","[75,80)","F",354.286192392607,"2011"
"200","IND","[75,80)","M",499.507144016637,"2011"
"201","IND","[80,85)","F",372.023122911105,"2011"
"202","IND","[80,85)","M",400.475877472295,"2011"
"203","IND","[85,90)","F",301.684750825789,"2011"
"204","IND","[85,90)","M",267.008706860089,"2011"
"205","IND","[90,95)","F",171.170560413704,"2011"
"206","IND","[90,95)","M",124.929785017109,"2011"
"207","IND","[95,100)","F",72.9544211036719,"2011"
"208","IND","[95,100)","M",43.2198315859645,"2011"
"209","IND","[100,105)","F",29.5861371750861,"2011"
"210","IND","[100,105)","M",14.5933790868494,"2011"
"211","MIX","[0,5)","F",47.7307385063192,"2011"
"212","MIX","[0,5)","M",55.1950684270736,"2011"
"213","MIX","[5,10)","F",8.95330372637496,"2011"
"214","MIX","[5,10)","M",9.8903382473311,"2011"
"215","MIX","[10,15)","F",8.38034883887909,"2011"
"216","MIX","[10,15)","M",9.56105970270273,"2011"
"217","MIX","[15,20)","F",10.3240243842833,"2011"
"218","MIX","[15,20)","M",19.3325430281846,"2011"
"219","MIX","[20,25)","F",10.692788774209,"2011"
"220","MIX","[20,25)","M",23.7160811911912,"2011"
"221","MIX","[25,30)","F",11.0220992033636,"2011"
"222","MIX","[25,30)","M",22.4577754290572,"2011"
"223","MIX","[30,35)","F",15.436773516107,"2011"
"224","MIX","[30,35)","M",25.1077296795169,"2011"
"225","MIX","[35,40)","F",18.5548114024485,"2011"
"226","MIX","[35,40)","M",32.1057106325308,"2011"
"227","MIX","[40,45)","F",31.4576700498749,"2011"
"228","MIX","[40,45)","M",49.2195990775267,"2011"
"229","MIX","[45,50)","F",43.2937814546348,"2011"
"230","MIX","[45,50)","M",63.8319403144036,"2011"
"231","MIX","[50,55)","F",44.6695385861172,"2011"
"232","MIX","[50,55)","M",63.4273835502951,"2011"
"233","MIX","[55,60)","F",42.8810024620009,"2011"
"234","MIX","[55,60)","M",61.964776974049,"2011"
"235","MIX","[60,65)","F",49.898348143524,"2011"
"236","MIX","[60,65)","M",68.5981370734985,"2011"
"237","MIX","[65,70)","F",61.7190267536159,"2011"
"238","MIX","[65,70)","M",90.0014039751956,"2011"
"239","MIX","[70,75)","F",72.8290863395613,"2011"
"240","MIX","[70,75)","M",111.374832352898,"2011"
"241","MIX","[75,80)","F",103.191533081363,"2011"
"242","MIX","[75,80)","M",133.694803324986,"2011"
"243","MIX","[80,85)","F",130.254575562497,"2011"
"244","MIX","[80,85)","M",145.823089357467,"2011"
"245","MIX","[85,90)","F",128.186000381333,"2011"
"246","MIX","[85,90)","M",115.576424278765,"2011"
"247","MIX","[90,95)","F",83.9484374914924,"2011"
"248","MIX","[90,95)","M",55.842774467229,"2011"
"249","MIX","[95,100)","F",42.3684388507185,"2011"
"250","MIX","[95,100)","M",27.3590880615947,"2011"
"251","MIX","[100,105)","F",12.6465447278161,"2011"
"252","MIX","[100,105)","M",3.93725674148434,"2011"
"253","OAS","[0,5)","F",14.2452050609621,"2011"
"254","OAS","[0,5)","M",17.6872668893376,"2011"
"255","OAS","[5,10)","F",2.98061002864113,"2011"
"256","OAS","[5,10)","M",3.79038989516759,"2011"
"257","OAS","[10,15)","F",3.28106339535984,"2011"
"258","OAS","[10,15)","M",3.68045179136774,"2011"
"259","OAS","[15,20)","F",4.35234326945322,"2011"
"260","OAS","[15,20)","M",9.07321375176619,"2011"
"261","OAS","[20,25)","F",6.03513192044606,"2011"
"262","OAS","[20,25)","M",14.5080867747055,"2011"
"263","OAS","[25,30)","F",8.946316300763,"2011"
"264","OAS","[25,30)","M",17.2517557144571,"2011"
"265","OAS","[30,35)","F",18.8018161721425,"2011"
"266","OAS","[30,35)","M",27.9183811550878,"2011"
"267","OAS","[35,40)","F",27.744384353165,"2011"
"268","OAS","[35,40)","M",45.9790022184511,"2011"
"269","OAS","[40,45)","F",38.018248873493,"2011"
"270","OAS","[40,45)","M",52.2829386334558,"2011"
"271","OAS","[45,50)","F",42.0874050412334,"2011"
"272","OAS","[45,50)","M",59.1810717432634,"2011"
"273","OAS","[50,55)","F",52.7064215434615,"2011"
"274","OAS","[50,55)","M",72.2434164555778,"2011"
"275","OAS","[55,60)","F",64.8093962693438,"2011"
"276","OAS","[55,60)","M",88.3880035686586,"2011"
"277","OAS","[60,65)","F",83.7217740831499,"2011"
"278","OAS","[60,65)","M",100.780136539482,"2011"
"279","OAS","[65,70)","F",82.4319343900132,"2011"
"280","OAS","[65,70)","M",108.796790997142,"2011"
"281","OAS","[70,75)","F",88.748682837523,"2011"
"282","OAS","[70,75)","M",121.737736144066,"2011"
"283","OAS","[75,80)","F",101.628624177008,"2011"
"284","OAS","[75,80)","M",129.642986172698,"2011"
"285","OAS","[80,85)","F",105.834453608801,"2011"
"286","OAS","[80,85)","M",106.44596280369,"2011"
"287","OAS","[85,90)","F",86.1663108642832,"2011"
"288","OAS","[85,90)","M",64.9147428889433,"2011"
"289","OAS","[90,95)","F",43.0270438182304,"2011"
"290","OAS","[90,95)","M",35.4643013165173,"2011"
"291","OAS","[95,100)","F",18.8329656821299,"2011"
"292","OAS","[95,100)","M",10.266659061996,"2011"
"293","OAS","[100,105)","F",4.47736435868463,"2011"
"294","OAS","[100,105)","M",3.26236010083484,"2011"
"295","OBL","[0,5)","F",8.02759377115138,"2011"
"296","OBL","[0,5)","M",10.0027018612989,"2011"
"297","OBL","[5,10)","F",1.80691185381921,"2011"
"298","OBL","[5,10)","M",1.85721042046454,"2011"
"299","OBL","[10,15)","F",1.81711672988316,"2011"
"300","OBL","[10,15)","M",1.80011571878126,"2011"
"301","OBL","[15,20)","F",1.65831516166543,"2011"
"302","OBL","[15,20)","M",3.69314047911998,"2011"
"303","OBL","[20,25)","F",1.42928557891463,"2011"
"304","OBL","[20,25)","M",4.14287492185467,"2011"
"305","OBL","[25,30)","F",1.86236275973953,"2011"
"306","OBL","[25,30)","M",4.35747989953697,"2011"
"307","OBL","[30,35)","F",3.15720874199365,"2011"
"308","OBL","[30,35)","M",5.37765104224196,"2011"
"309","OBL","[35,40)","F",4.80037323729574,"2011"
"310","OBL","[35,40)","M",9.01045729092621,"2011"
"311","OBL","[40,45)","F",12.7520274592753,"2011"
"312","OBL","[40,45)","M",22.0985225143593,"2011"
"313","OBL","[45,50)","F",22.0542898929492,"2011"
"314","OBL","[45,50)","M",36.1565315347125,"2011"
"315","OBL","[50,55)","F",17.0448994398899,"2011"
"316","OBL","[50,55)","M",26.8228518359897,"2011"
"317","OBL","[55,60)","F",12.8849688251064,"2011"
"318","OBL","[55,60)","M",16.7023504613305,"2011"
"319","OBL","[60,65)","F",12.6507881624282,"2011"
"320","OBL","[60,65)","M",14.9166930394141,"2011"
"321","OBL","[65,70)","F",18.898714000947,"2011"
"322","OBL","[65,70)","M",21.5332016575224,"2011"
"323","OBL","[70,75)","F",26.8210652321181,"2011"
"324","OBL","[70,75)","M",33.7392263689243,"2011"
"325","OBL","[75,80)","F",30.597029688802,"2011"
"326","OBL","[75,80)","M",40.1765273486327,"2011"
"327","OBL","[80,85)","F",27.192295399343,"2011"
"328","OBL","[80,85)","M",28.1014310651033,"2011"
"329","OBL","[85,90)","F",17.2854474858268,"2011"
